"id","language","text"
113,"es","?RT @mconesapages: S'aprova manifest per Referèndum. Demòcràcia i futur! #pactenacionalreferèndum https://t.co/npZbv68oZy"
114,"es","?RT @joanpaurue: @Arran_jovent perquè no feu el mateix amb els veritables responsables de 'les hemos destrozado la sanidad'? sou molt valent…"
115,"es","?Parc Mediambiental de Gualba.

@parcdegualba @gualbainfo @bcnmoltmes @catexperience @xarxadeparcs @diba… https://t.co/subJV3AQft"
116,"es","?Parc Mediambiental de Gualba.

@parcdegualba @gualbainfo @bcnmoltmes @catexperience @xarxadeparcs @diba… https://t.co/subJV3AQft"
117,"es","?RT @arran_conca: No volem la representació de l'exèrcit a cap espai de l'estudiant! Fora les forces d'ocupació espanyoles! ? https://t.co/s…"
118,"es","?RT @Dionis7vetes: Boníssim anàlissi del mestre Joan Puigcercós! “Els tancs ja han arribat, són Hisenda i els jutjats” https://t.co/JJSOKQEe…"
119,"es","?RT @Arran_jovent: Avui @Arran_jovent som més fortes amb l'entrada a l'organització de dues noves assemblees: Arran Sarrià -… "
120,"es","?RT @DiariTreball: Denuncien l’acomiadament d’un guarda forestal de la Diputació per ser reivindicatiu @CCOODiba #MarcReadmissió  https://t.…"
121,"es","?RT @HistoriaEnFotos: El laberinto de las calles de Marrakech vistas desde un drone es aún más impresionante.
Photo by EarthFocus. https://t…"
122,"es","?RT @mconesapages: S'aprova manifest per Referèndum. Demòcràcia i futur! #pactenacionalreferèndum https://t.co/npZbv68oZy"
123,"es","?Els joves estarem al costat del poble quan l'Estat espanyol intenti evitar el Referèndum. No podran aturar les urnes https://t.co/qPX06P5u4n"
124,"es","?RT @jordievole: El ex director de la Guardia Civil, nuevo consejero de Red Eléctrica Española. 
No es del Mundo Today...
Nos mean encima y…"
125,"es","?RT @Kk_LuxE: A Fernández de mesa, habrá que llamarle a partir de ahora fernández de endesa https://t.co/Oi40OnvaiM"
126,"es","?RT @diba: Avui programa camins #Maresme a #Òrrius amb inversió 773.000€ x arranjar 210 km i facilitar accés nuclis, masies i explotacions a…"
127,"es","?RT @diba: Avui programa camins #Maresme a #Òrrius amb inversió 773.000€ x arranjar 210 km i facilitar accés nuclis, masies i explotacions a…"
128,"es","?RT @ercdiba:  La @diba destina 773.000€ aquest mandat a la millora i manteniment de camins municipals del Maresme ? https://t.co/KZ7xDun1U…"
129,"es","?RT @ercdiba:  La @diba destina 773.000€ aquest mandat a la millora i manteniment de camins municipals del Maresme ? https://t.co/KZ7xDun1U…"
130,"es","?RT @agarzon: Por lo que hemos aprendido, el uso de la categoría “terrorista” depende del color de piel y de la religión profesad… "
131,"es","?RT @diba: El Vallès Oriental rebrà 1,5 MEUR x arranjar 107 vials amb 321 km comunicar masies, nuclis i explotacions agràries Programa camin…"
132,"es","?RT @diba: El Vallès Oriental rebrà 1,5 MEUR x arranjar 107 vials amb 321 km comunicar masies, nuclis i explotacions agràries Programa camin…"
133,"es","?RT @ercdiba:  La @diba destina 1,54M€ a la millora i manteniment de camins del Vallès Oriental.Se’n beneficien 70.000 persones ? https://t…"
134,"es","?RT @ercdiba:  La @diba destina 1,54M€ a la millora i manteniment de camins del Vallès Oriental.Se’n beneficien 70.000 persones ? https://t…"
135,"es","?RT @Jarabe_De_Palo: Desde que me pongo canciones de Bertin Osborne como alarma en el móvil, me despierto antes de que suene."
136,"es","?RT @diba: Hem lliurat a @ajlagarriga estudi actuacions derivades de la supressió dels passos a nivell del ferrocarril https://t.co/OCZThMkY…"
137,"es","?RT @diba: Hem lliurat a @ajlagarriga estudi actuacions derivades de la supressió dels passos a nivell del ferrocarril https://t.co/OCZThMkY…"
